Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference
1,Jeremiah Smith,"Opa Locka, FL",WR,6 ft 3 in,214,Ohio State,2024,Big Ten
2,Ellis Robinson IV,"Bradenton, FL",CB,6 ft 1 in,185,Georgia,2024,SEC
3,DJ Lagway,"Willis, TX",QB,6 ft 2 in,225,Florida,2024,SEC
4,LJ McCray,"Daytona Beach, FL",DL,6 ft 4.5 in,279,Florida,2024,SEC
5,Cam Coleman,"Phenix City, AL",WR,6 ft 3 in,180,Auburn,2024,SEC
6,Williams Nwaneri,"Lees Summit, MO",DL,6 ft 6.5 in,260,Missouri,2024,SEC
7,Dylan Raiola,"Buford, GA",QB,6 ft 3 in,230,Nebraska,2024,Big Ten
8,Ryan Williams,"Saraland, AL",WR,6 ft 0.5 in,165,Alabama,2024,SEC
9,Jordan Ross,"Birmingham, AL",Edge,6 ft 4.5 in,233,Tennessee,2024,SEC
10,Justin Williams,"Conroe, TX",LB,6 ft 2 in,205,Georgia,2024,SEC
11,Justin Scott,"Chicago, IL",DL,6 ft 4 in,310,Miami,2024,ACC
12,Jaylen Mbakwe,"Pinson, AL",CB,5 ft 11 in,170,Alabama,2024,SEC
13,Jordan Seaton,"Bradenton, FL",OT,6 ft 5 in,287,Colorado,2024,Big-12
14,Sammy Brown,"Jefferson, GA",LB,6 ft 2 in,230,Clemson,2024,ACC
15,KJ Bolden,"Buford, GA",S,6 ft 0.5 in,187,Georgia,2024,SEC
16,Terry Bussey,"Timpson, TX",ATH,5 ft 10.5 in,180,Texas A&M,2024,SEC
17,David Stone,"Oklahoma City, OK",DL,6 ft 4 in,275,Oklahoma,2024,SEC
18,Dominick McKinley,"Lafayette, LA",DL,6 ft 5.5 in,280,LSU,2024,SEC
19,Dylan Stewart,"Washington, DC",Edge,6 ft 5 in,250,South Carolina,2024,SEC
20,Julian Sayin,"Carlsbad, CA",QB,6 ft 1 in,195,Alabama,2024,SEC
21,T.J. Moore,"Tampa, FL",WR,6 ft 3 in,195,Clemson,2024,ACC
22,Zabien Brown,"Santa Ana, CA",CB,6 ft 0 in,182,Alabama,2024,SEC
23,Chris Cole,"Salem, VA",LB,6 ft 3 in,210,Georgia,2024,SEC
24,Bryce Young,"Charlotte, NC",DL,6 ft 5.5 in,244,Notre Dame,2024,Independent/ACC
25,Micah Hudson,"Temple, TX",WR,6 ft 0 in,190,Texas Tech,2024,Big 12
26,Elijah Rushing,"Tucson, AZ",Edge,6 ft 6 in,251,Oregon,2024,Big Ten
27,Gatlin Bair,"Burley, ID",WR,6 ft 1 in,194,Oregon,2024,Big Ten
28,Colin Simmons,"Duncanville, TX",Edge,6 ft 2 in,230,Texas,2024,SEC
29,Luke Reynolds,"Cheshire, CT",TE,6 ft 4 in,220,Penn State,2024,Big Ten
30,Amaris Williams,"Clinton, NC",Edge,6 ft 2 in,257,Auburn,2024,SEC
31,Zavier Mincey,"Daytona Beach, FL",CB,6 ft 1.5 in,187,Alabama,2024,SEC
32,Ryan Wingo,"Saint Louis, MO",WR,6 ft 1.5 in,210,Texas,2024,SEC
1,Arch Manning,"New Orleans, LA",QB,6 ft 4 in,215,Texas,2023,Big 12
2,Nico Iamaleava,"Downey, CA",QB,6 ft 5 in,195,Tennessee,2023,SEC
3,Keon Keeley,"Tampa, FL",Edge,6 ft 5 in,242,Alabama,2023,SEC
4,Dante Moore,"Detroit, MI",QB,6 ft 2.5 in,210,UCLA,2023,Pac-12
5,Kadyn Proctor,"Des Moines, IA",OT,6 ft 7 in,330,Alabama,2023,SEC
6,Francis Mauigoa,"Bradenton, FL",OT,6 ft 5.5 in,330,Miami,2023,ACC
7,Zachariah Branch,"Las Vegas, NV",WR,5 ft 10 in,172,USC,2023,Pac-12
8,Caleb Downs,"Hoschton, GA",S,5 ft 11 in,197,Alabama,2023,SEC
9,Adepoju Adebawore,"Kansas City, MO",Edge,6 ft 4 in,240,Oklahoma,2023,Big 12
10,Jackson Arnold,"Denton, TX",QB,6 ft 1 in,205,Oklahoma,2023,Big 12
11,DJ Hicks,"Katy, TX",DL,6 ft 4 in,290,Texas A&M,2023,SEC
12,Jordan Hall,"Jacksonville, FL",DL,6 ft 3.5 in,317,Georgia,2023,SEC
13,Malachi Nelson,"Los Alamitos, CA",QB,6 ft 3 in,182,USC,2023,Pac-12
14,Cormani McClain,"Lakeland, FL",CB,6 ft 2 in,165,Colorado,2023,Pac-12
15,Nyck Harbor,"Washington, DC",ATH,6 ft 5 in,225,South Carolina,2023,SEC
16,Lance Heard,"Monroe, LA",OT,6 ft 5.5 in,310,LSU,2023,SEC
17,Anthony Hill Jr.,"Denton, TX",LB,6 ft 2 in,225,Texas,2023,Big 12
18,Jurrion Dickey,"East Palo Alto, CA",WR,6 ft 3 in,210,Oregon,2023,Pac-12
19,Duce Robinson,"Phoenix, AZ",TE,6 ft 6 in,225,USC,2023,Pac-12
20,Samson Okunlola,"Brockton, MA",OT,6 ft 5 in,305,Miami,2023,ACC
21,Raylen Wilson,"Tallahassee, FL",LB,6 ft 2 in,213,Georgia,2023,SEC
22,Carnell Tate,"Bradenton, FL",WR,6 ft 2 in,180,Ohio State,2023,Big Ten
23,Suntarine Perkins,"Raleigh, MS",LB,6 ft 3 in,205,Ole Miss,2023,SEC
24,Hykeem Williams,"Fort Lauderdale, FL",WR,6 ft 3 in,200,Florida State,2023,ACC
25,J'ven Williams,"Reading, PA",OT,6 ft 4 in,285,Penn State,2023,Big Ten
26,Da'Shawn Womack,"Baltimore, MD",Edge,6 ft 4 in,240,LSU,2023,SEC
27,A.J. Harris,"Phenix City, AL",CB,6 ft 1 in,180,Georgia,2023,SEC
28,Yhonzae Pierre,"Eufaula, AL",Edge,6 ft 3 in,223,Alabama,2023,SEC
29,Joenel Aguero,"Lynn, MA",S,6 ft 0 in,195,Georgia,2023,SEC
30,CJ Baxter,"Orlando, FL",RB,6 ft 1 in,215,Texas,2023,Big 12
31,Rueben Owens,"El Campo, TX",RB,5 ft 11 in,190,Texas A&M,2023,SEC
32,Vic Burley,"Warner Robins, GA",DL,6 ft 5 in,276,Clemson,2023,ACC
1,Travis Hunter,"Suwanee, GA",CB,6 ft 1 in,165,Jackson State,2022,SWAC
2,Walter Nolen,"Powell, TN",DL,6 ft 4 in,325,Texas A&M,2022,SEC
3,Drew Allar,"Medina, OH",QB,6 ft 4.5 in,232,Penn State,2022,Big Ten
4,Malaki Starks,"Jefferson, GA",ATH,6 ft 1 in,200,Georgia,2022,SEC
5,Harold Perkins Jr.,"Cypress, TX",LB,6 ft 2.5 in,210,LSU,2022,SEC
6,Evan Stewart,"Frisco, TX",WR,6 ft 0 in,175,Texas A&M,2022,SEC
7,Mykel Williams,"Columbus, GA",DL,6 ft 5 in,265,Georgia,2022,SEC
8,Josh Conerly Jr.,"Seattle, WA",OT,6 ft 5 in,283,Oregon,2022,Pac-12
9,Shemar Stewart,"Opa Locka, FL",DL,6 ft 6 in,272,Texas A&M,2022,SEC
10,C.J. Hicks,"Dayton, OH",LB,6 ft 3 in,215,Ohio State,2022,Big Ten
11,Gabriel Brownlow-Dindy,"Lakeland, FL",DL,6 ft 3 in,280,Texas A&M,2022,SEC
12,Travis Shaw,"Greensboro, NC",DL,6 ft 5 in,310,North Carolina,2022,ACC
13,Cade Klubnik,"Austin, TX",QB,6 ft 2.5 in,186,Clemson,2022,ACC
14,Luther Burden III,"East Saint Louis, IL",WR,6 ft 0 in,200,Missouri,2022,SEC
15,Domani Jackson,"Santa Ana, CA",CB,6 ft 1 in,185,USC,2022,Pac-12
16,Jihaad Campbell,"Bradenton, FL",Edge,6 ft 3 in,215,Alabama,2022,SEC
17,LT Overton,"Alpharetta, GA",DL,6 ft 4.5 in,265,Texas A&M,2022,SEC
18,Daylen Everette,"Bradenton, FL",CB,6 ft 1 in,185,Georgia,2022,SEC
19,Nick Singleton,"Reading, PA",RB,6 ft 0 in,210,Penn State,2022,Big Ten
