Rk,School,G,Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Total_Plays,Total_Yds,Avg_Total_yrds,Pass_FD,Rush_FD,Pen_FD,Tot_FD_per_game,No_Penalties_per_game,Penalty_Yds,Fum,Int,TO,Year,Conference
20,Missouri,14,21.1,20.6,33.9,60.8,212.7,1.3,37.9,133.7,3.5,1.3,71.8,346.4,4.8,9.8,8.1,1.8,19.6,5.9,47.6,0.9,0.9,1.8,2014,SEC
21,Boston College,13,21.3,20.3,32.5,62.4,229.8,1.5,30.6,93.8,3.1,1.1,63.2,323.5,5.1,10.4,5.9,1,17.3,5.8,44.9,0.4,0.7,1.1,2014,ACC
22,Michigan State,13,21.5,18,34.2,52.7,227.3,1.3,27.9,88.5,3.2,1.4,62.1,315.8,5.1,8.6,5.2,1.5,15.3,5.6,44.7,1.2,1.4,2.6,2014,Big Ten
23,Mississippi State,13,21.7,20.3,38.8,52.3,272.8,1.3,36.3,151.5,4.2,1.3,75.2,424.4,5.6,11,8.8,0.8,20.6,4.4,36.6,0.5,1.2,1.8,2014,SEC
24,Duke,13,21.8,18.1,32.4,55.8,206.8,1.1,43.4,192.9,4.4,1.5,75.8,399.7,5.3,9.1,11.7,1.2,21.9,6.8,60.4,0.8,0.8,1.6,2014,ACC
25,Louisville,13,21.8,17,31.5,53.9,199.6,1.1,33.4,109.9,3.3,0.9,64.9,309.5,4.8,8.5,5.7,1.2,15.3,5,43.6,0.3,2,2.3,2014,ACC
26,Ohio State,15,22,18.4,33,55.8,201.1,1.1,35.8,141.3,3.9,1.6,68.8,342.4,5,9,8,1.9,18.9,5.3,45.7,0.5,1.7,2.2,2014,Big Ten
27,Michigan,12,22.4,17.1,28.6,59.8,193.7,1.2,36.7,117.7,3.2,1.1,65.3,311.3,4.8,8.4,7.3,0.8,16.6,6,56.7,0.4,0.4,0.8,2014,Big Ten
29,Kansas State,13,23.2,21,33.8,62.2,229,1.5,33.8,140.3,4.1,1.3,67.6,369.3,5.5,11.8,7.5,0.8,20.2,6.7,60.2,0.5,1.2,1.6,2014,Big 12
31,Oregon,15,23.6,23.4,38.7,60.4,264.3,1.4,39.1,165.4,4.2,1.5,77.9,429.7,5.5,12.6,8.8,1.9,23.3,6.1,53.9,1.4,0.9,2.3,2014,Pac-12
32,Texas,13,23.8,19,32.2,58.9,184.2,1,42.2,164.3,3.9,1.3,74.5,348.5,4.7,8.6,9.4,1.3,19.3,5.5,50.4,0.5,1.2,1.7,2014,Big 12
33,Virginia,12,24.1,18.2,32.9,55.2,232.5,1.6,35.9,120.7,3.4,0.9,68.8,353.2,5.1,9.8,6.9,2.1,18.8,7.3,59.3,1.2,1.3,2.4,2014,ACC
35,Minnesota,13,24.2,17.9,31.2,57.4,193.5,1.5,36.6,174.7,4.8,1.4,67.8,368.2,5.4,9,8.7,1.8,19.5,4.5,39.1,1.2,1.2,2.3,2014,Big Ten
36,Tennessee,13,24.2,15.5,29,53.3,196.2,1.2,39.6,168.4,4.3,1.8,68.6,364.6,5.3,8.5,9.2,1.1,18.8,6,47.7,0.6,1.2,1.8,2014,SEC
37,Miami (FL),13,24.3,17.6,30.5,57.7,192.2,1.1,38.3,137.5,3.6,1.6,68.8,329.6,4.8,8.4,8.5,2.2,19.2,5.5,49.7,1,0.8,1.8,2014,ACC
38,Syracuse,12,24.3,18.8,28.8,65.2,209.9,1.6,41.1,139.3,3.4,0.8,69.8,349.2,5,10,8.3,1.7,20,6.6,56,1,0.7,1.7,2014,ACC
42,Washington,14,24.8,24.5,38.5,63.6,286.6,1.9,37.8,124.1,3.3,1,76.3,410.6,5.4,13.4,7.2,1.9,22.6,6.1,52.7,1.1,0.9,2.1,2014,Pac-12
43,Utah,13,24.9,20.5,34.6,59.3,246.6,1.8,39,146.8,3.8,0.9,73.6,393.5,5.3,9.9,8.7,2.2,20.8,5.8,50.9,0.7,0.9,1.6,2014,Pac-12
47,Northwestern,12,25.2,18.3,33.1,55.4,214.3,1.4,40.1,169.9,4.2,1.5,73.2,384.3,5.3,9.7,9.3,1.5,20.4,5.6,49.7,1,1.3,2.3,2014,Big Ten
48,USC,13,25.2,24.8,42.2,58.8,274.5,1.5,34.9,133.5,3.8,1.5,77.1,408,5.3,12.4,7.7,3.2,23.2,6.2,54.8,0.7,1.1,1.8,2014,Pac-12
49,Baylor,13,25.5,19.2,35.1,54.6,264.2,1.8,37.3,117.7,3.2,1.3,72.4,381.8,5.3,9.8,6.5,3.3,19.7,6.8,66.6,1,1,2,2014,Big 12
50,Florida State,14,25.6,17.7,31.1,57,226.8,1.6,40.9,170.1,4.2,1.5,72,396.9,5.5,9.4,10.4,1.3,21.1,5.5,48.9,0.9,1,1.9,2014,ACC
51,Iowa,13,25.6,14.5,27.1,53.7,175.9,1.4,38.1,168.3,4.4,1.5,65.2,344.2,5.3,7.8,8.2,0.9,16.8,6.4,59.6,0.2,1,1.2,2014,Big Ten
53,Georgia Tech,14,25.7,20.1,32,62.9,243.7,1.4,33.1,167.6,5.1,1.7,65.1,411.3,6.3,11.4,8.9,1,21.4,5.4,44,0.8,1.3,2.1,2014,ACC
55,Oklahoma,13,25.9,22.1,39.2,56.3,276.2,1.8,35.2,106.4,3,1.2,74.5,382.6,5.1,11.9,6.6,1.8,20.3,5.9,47.2,0.5,0.9,1.5,2014,Big 12
60,Nebraska,13,26.4,16.5,33.9,48.5,205.8,1.2,37.5,177.8,4.7,1.9,71.5,383.7,5.4,9.1,8.7,1.2,18.9,6,52.3,0.8,1,1.8,2014,Big Ten
62,Wake Forest,12,26.4,17.6,29,60.6,186.6,1,41.8,182.7,4.4,1.7,70.8,369.3,5.2,7.8,9.5,1.9,19.3,5.7,45.2,1.1,0.5,1.6,2014,ACC
63,Auburn,13,26.7,18.7,32.4,57.7,230.1,1.7,37.9,168.8,4.5,1.7,70.3,398.8,5.7,10.1,9.2,2.8,22.1,4.3,35.5,0.4,1.7,2.1,2014,SEC
66,North Carolina State,13,27,17.4,31.2,55.8,204.7,1.5,40.1,168.4,4.2,1.6,71.2,373.1,5.2,8.9,10.6,1.2,20.7,5.2,45.8,0.8,0.8,1.5,2014,ACC
69,Cincinnati,13,27.2,21.2,34.9,60.8,255.4,1.7,38.5,183.7,4.8,1.4,73.5,439.1,6,10.9,10.2,1,22.1,5.9,57.4,1.2,0.6,1.8,2014,Big 12
74,West Virginia,13,27.6,18.5,35,53,231.2,1.4,38.6,168.2,4.4,1.5,73.6,399.4,5.4,10.4,7.6,1.8,19.8,8.3,82.5,0.2,0.9,1.1,2014,Big 12
76,Arizona State,13,27.9,20.7,34.8,59.4,259.7,1.7,39.3,157.4,4,1.3,74.2,417.1,5.6,11.2,7.7,1.2,20.1,7,61.2,1,1.1,2.1,2014,Pac-12
77,Texas A&M,13,28.1,18.6,33.2,56.1,234.8,1.5,43.2,216,5,1.8,76.3,450.8,5.9,10.7,10.7,1.8,23.2,5.9,48,0.6,0.4,1,2014,SEC
78,UCLA,13,28.1,23.5,38.2,61.6,250.6,1.7,38.8,147.9,3.8,1.5,77.1,398.5,5.2,11.6,8.5,2.5,22.7,5.7,51.1,0.4,0.8,1.2,2014,Pac-12
80,Arizona,14,28.2,24.9,38.1,65.4,281.2,2,41.4,169.9,4.1,1.4,79.6,451.1,5.7,13.4,8.6,2.1,24.1,8.9,77.6,0.9,0.9,1.9,2014,Pac-12
89,Maryland,13,30.2,19.5,35.1,55.5,234.3,1.5,44.9,201.9,4.5,1.8,80,436.2,5.5,10.1,10.6,1.7,22.4,6.3,52.8,1,0.7,1.7,2014,Big Ten
90,Rutgers,13,30.2,18.5,30.9,60,230.5,1.4,38.4,212.3,5.5,2.5,69.3,442.8,6.4,9.5,10.5,1.3,21.1,6.3,55.5,0.8,0.5,1.4,2014,Big Ten
91,South Carolina,13,30.4,18.6,30,62.1,220.5,1.2,39.5,212.2,5.4,2.2,69.5,432.7,6.2,10.6,10.2,1.6,22.5,6.2,56.6,0.6,0.8,1.5,2014,SEC
94,Oklahoma State,13,31.2,21.2,34.8,60.7,269.2,1.8,39.8,162.8,4.1,1.8,74.6,432,5.8,11.2,9,1.8,22,6.8,62.7,0.2,0.9,1.1,2014,Big 12
95,Kentucky,12,31.3,18.1,31.4,57.6,215.8,1.8,42.6,191.2,4.5,1.7,74,406.9,5.5,10.4,10.6,1.5,22.5,4.8,41.6,0.7,1.3,1.9,2014,SEC
98,Oregon State,12,31.6,21.3,36.3,58.9,248.1,1.7,34.3,158.3,4.6,2,70.6,406.3,5.8,11.1,8.3,2.6,22,7.2,66.2,0.6,0.9,1.5,2014,Pac-12
99,Purdue,12,31.7,18.3,32.3,56.8,221.9,1.5,42.3,194.1,4.6,2.3,74.5,416,5.6,10.8,10,1.5,22.3,4.3,37.4,0.8,0.8,1.6,2014,Big Ten
102,Indiana,12,32.8,22.6,36.7,61.6,251.1,2,37.5,182.7,4.9,1.8,74.2,433.8,5.8,11.3,9.2,1.9,22.3,4.7,41.2,0.3,1.1,1.4,2014,Big Ten
106,Kansas,12,33.3,19.4,33.3,58.4,243.5,1.8,38.8,209.7,5.4,1.8,72.1,453.2,6.3,10.3,9.7,2,21.9,5.9,50.8,1,0.8,1.8,2014,Big 12
107,Vanderbilt,12,33.3,17.9,28.8,62.1,218.3,1.6,41.5,183.8,4.4,1.9,70.3,402.1,5.7,10,10.4,1.6,21.9,6.4,51.3,0.6,0.5,1.1,2014,SEC
109,Illinois,13,34,16.5,28.5,57.8,217.2,1.5,47.5,239.2,5,2.4,75.9,456.4,6,9,11.8,1.8,22.5,5.4,45.8,0.9,0.5,1.5,2014,Big Ten
117,Washington State,12,38.6,23,35.8,64.3,296.6,2.8,35.8,145.7,4.1,1.5,71.6,442.3,6.2,11.7,7.3,2.3,21.3,7.9,69.9,0.4,0.3,0.7,2014,Pac-12
118,Iowa State,12,38.8,23.3,37.6,62.1,282.7,1.7,43.3,246,5.7,2.9,80.9,528.7,6.5,12.5,13,1.8,27.3,6.6,55,0.5,0.8,1.3,2014,Big 12
119,Colorado,12,39,20.3,33.9,59.7,255.4,2.9,36.4,204.8,5.6,1.8,70.3,460.2,6.5,10.8,9,2.7,22.4,7.2,68.8,0.7,0.3,0.9,2014,Pac-12
120,North Carolina,13,39,17.7,30.2,58.7,257.4,2.4,46.1,240.5,5.2,2.5,76.2,497.8,6.5,10.7,12,2,24.7,6.2,49.7,0.8,0.9,1.8,2014,ACC
123,California,12,39.8,29.7,45.3,65.6,366.7,3.5,36.3,145.1,4,1.6,81.6,511.8,6.3,16.9,7.9,2.8,27.7,8,79.5,0.4,1,1.4,2014,Pac-12
127,Texas Tech,12,41.3,19,32.2,59.1,253.2,2.3,49.9,260.3,5.2,3,82.1,513.4,6.3,10.8,13.7,2.6,27.1,5.8,53.8,0.8,0.5,1.3,2014,Big 12
