Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference,County
29,Garrett Wilson,"Austin, TX",WR,5 ft 11.5 in,175,Ohio State,2019,Big Ten,Unknown
30,Scooby Carter,"Mansfield, TX",CB,6 ft 0 in,186,Alabama,2019,SEC,Unknown
31,Kyle Ford,"Orange, CA",WR,6 ft 2 in,212,USC,2019,Pac-12,Unknown
32,Evan Neal,"Bradenton, FL",OT,6 ft 7.5 in,360,Alabama,2019,SEC,Manatee County
1,Trevor Lawrence,"Cartersville, GA",PRO,6 ft 6 in,208,Clemson,2018,ACC,Unknown
2,Justin Fields,"Kennesaw, GA",DUAL,6 ft 3 in,221,Georgia,2018,SEC,Unknown
3,Eyabi Okie-Anoma,"Baltimore, MD",WDE,6 ft 5 in,235,Alabama,2018,SEC,Unknown
4,Xavier Thomas,"Bradenton, FL",SDE,6 ft 3 in,260,Clemson,2018,ACC,Manatee County
5,Micah Parsons,"Harrisburg, PA",WDE,6 ft 3 in,235,Penn State,2018,Big Ten,Unknown
6,JT Daniels,"Santa Ana, CA",PRO,6 ft 2 in,205,USC,2018,Pac-12,Unknown
7,Justin Shorter,"Monmouth Junction, NJ",WR,6 ft 4 in,213,Penn State,2018,Big Ten,Unknown
8,Jamaree Salyer,"Atlanta, GA",OG,6 ft 4 in,342,Georgia,2018,SEC,Unknown
9,Nicholas Petit-Frere,"Tampa, FL",OT,6 ft 6 in,272,Ohio State,2018,Big Ten,Unknown
10,Amon-Ra St. Brown,"Anaheim, CA",WR,5 ft 11.5 in,191,USC,2018,Pac-12,Unknown
11,Patrick Surtain II,"Fort Lauderdale, FL",CB,6 ft 1.25 in,199,Alabama,2018,SEC,Unknown
12,Tyson Campbell,"Fort Lauderdale, FL",CB,6 ft 2.5 in,180,Georgia,2018,SEC,Unknown
13,Zamir White,"Laurinburg, NC",RB,6 ft 1 in,210,Georgia,2018,SEC,Unknown
14,Jordyn Adams,"Cary, NC",WR,6 ft 2 in,175,North Carolina,2018,ACC,Unknown
15,Brey Walker,"Moore, OK",OT,6 ft 7 in,320,Oklahoma,2018,Big 12,Unknown
16,Jalen Redmond,"Oklahoma City, OK",WDE,6 ft 4 in,233,Oklahoma,2018,Big 12,Unknown
17,Jalen Green,"Houston, TX",CB,6 ft 0 in,171,Texas,2018,Big 12,Unknown
18,Jeremy Ruckert,"Lindenhurst, NY",TE,6 ft 5.5 in,238,Ohio State,2018,Big Ten,Unknown
19,Ja'Marr Chase,"Metairie, LA",WR,6 ft 1 in,195,LSU,2018,SEC,Unknown
20,Terrace Marshall,"Bossier City, LA",WR,6 ft 2.5 in,192,LSU,2018,SEC,Unknown
21,Ale Kaho,"Reno, NV",ILB,6 ft 1 in,218,Alabama,2018,SEC,Unknown
22,Palaie Gaoteote IV,"Las Vegas, NV",ILB,6 ft 2 in,235,USC,2018,Pac-12,Unknown
23,Channing Tindall,"Columbia, SC",ILB,6 ft 2 in,213,Georgia,2018,SEC,Unknown
24,Cameron McGrone,"Indianapolis, IN",OLB,6 ft 1 in,215,Michigan,2018,Big Ten,Unknown
25,Josh Belk,"Richburg, SC",DT,6 ft 3 in,309,Clemson,2018,ACC,Unknown
26,KJ Henry,"Clemmons, NC",WDE,6 ft 5.5 in,235,Clemson,2018,ACC,Unknown
27,Adam Anderson,"Rome, GA",OLB,6 ft 4 in,214,Georgia,2018,SEC,Unknown
28,DeMarvion Overshown,"Arp, TX",S,6 ft 4 in,200,Texas,2018,Big 12,Unknown
29,Talanoa Hufanga,"Corvallis, OR",ATH,6 ft 0.5 in,193,USC,2018,Pac-12,Unknown
30,Derion Kendrick,"Rock Hill, SC",WR,6 ft 1 in,184,Clemson,2018,ACC,Unknown
31,Quay Walker,"Cordele, GA",OLB,6 ft 4 in,236,Georgia,2018,SEC,Unknown
32,Caden Sterns,"Cibolo, TX",S,6 ft 1 in,192,Texas,2018,Big 12,Unknown
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12,Unknown
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12,Unknown
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC,Unknown
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten,Unknown
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC,Unknown
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten,Unknown
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC,Unknown
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12,Unknown
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC,Unknown
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten,Unknown
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC,Unknown
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten,Unknown
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12,Unknown
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12,Unknown
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC,Unknown
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten,Unknown
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC,Unknown
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC,Jefferson County
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12,Unknown
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC,Manatee County
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12,Unknown
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC,Unknown
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC,Unknown
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC,Unknown
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC,Unknown
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten,Unknown
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12,Unknown
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12,Unknown
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC,Unknown
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten,Unknown
31,Marvin Wilson,"Bellaire, TX",DT,6 ft 4 in,329,Florida State,2017,ACC,Unknown
32,Dylan Moses,"Bradenton, FL",OLB,6 ft 2.5 in,235,Alabama,2017,SEC,Manatee County
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12,Unknown
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12,Unknown
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC,Unknown
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten,Unknown
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC,Unknown
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten,Unknown
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC,Unknown
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12,Unknown
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC,Unknown
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten,Unknown
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC,Unknown
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten,Unknown
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12,Unknown
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12,Unknown
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC,Unknown
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten,Unknown
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC,Unknown
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC,Jefferson County
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12,Unknown
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC,Manatee County
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12,Unknown
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC,Unknown
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC,Unknown
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC,Unknown
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC,Unknown
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten,Unknown
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12,Unknown
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12,Unknown
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC,Unknown
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten,Unknown
31,Marvin Wilson,"Bellaire, TX",DT,6 ft 4 in,329,Florida State,2017,ACC,Unknown
32,Dylan Moses,"Bradenton, FL",OLB,6 ft 2.5 in,235,Alabama,2017,SEC,Manatee County
1,Rashan Gary,"Paramus, NJ",DT,6 ft 5 in,293,Michigan,2016,Big Ten,Unknown
2,Dexter Lawrence,"Wake Forest, NC",DT,6 ft 4 in,327,Clemson,2016,ACC,Unknown
3,Shea Patterson,"Bradenton, FL",PRO,6 ft 1.5 in,192,Ole Miss,2016,SEC,Manatee County
4,Jacob Eason,"Lake Stevens, WA",PRO,6 ft 5.5 in,208,Georgia,2016,SEC,Unknown
5,Greg Little,"Allen, TX",OT,6 ft 5.5 in,305,Ole Miss,2016,SEC,Unknown
6,Derrick Brown,"Buford, GA",DT,6 ft 3.75 in,317,Auburn,2016,SEC,Gwinnett County
7,Ed Oliver,"Houston, TX",DT,6 ft 2 in,277,Houston,2016,American Athletic,Unknown
8,Tommy Kraemer,"Cincinnati, OH",OT,6 ft 5.5 in,309,Notre Dame,2016,Independent/ACC,Unknown
9,Oluwole Betiku Jr.,"Gardena, CA",WDE,6 ft 3.5 in,240,USC,2016,Pac-12,Unknown
10,Nick Bosa,"Fort Lauderdale, FL",SDE,6 ft 4 in,265,Ohio State,2016,Big Ten,Unknown
11,Levonta Taylor,"Virginia Beach, VA",CB,5 ft 11 in,182,Florida State,2016,ACC,Unknown
12,Landon Young,"Lexington, KY",OT,6 ft 7 in,270,Kentucky,2016,SEC,Unknown
13,Ben Davis,"Gordo, AL",ILB,6 ft 3 in,240,Alabama,2016,SEC,Unknown
14,Tavien Feaster,"Spartanburg, SC",APB,5 ft 11 in,196,Clemson,2016,ACC,Unknown
15,Ben Cleveland,"Toccoa, GA",OT,6 ft 6 in,319,Georgia,2016,SEC,Unknown
16,Demetris Robertson,"Savannah, GA",WR,5 ft 11.75 in,175,California,2016,Pac-12,Unknown
17,Landon Dickerson,"Hudson, NC",OT,6 ft 5 in,300,Florida State,2016,ACC,Unknown
18,Michael Divinity,"Marrero, LA",OLB,6 ft 2 in,218,LSU,2016,SEC,Unknown
19,Mack Wilson,"Montgomery, AL",OLB,6 ft 2 in,220,Alabama,2016,SEC,Unknown
20,Rashard Lawrence,"Monroe, LA",DT,6 ft 3 in,305,LSU,2016,SEC,Unknown
21,Michael Pittman Jr.,"Thousand Oaks, CA",WR,6 ft 4 in,209,USC,2016,Pac-12,Unknown
22,Brian Burns,"Fort Lauderdale, FL",WDE,6 ft 4.5 in,209,Florida State,2016,ACC,Unknown
23,Terrell Lewis,"Washington, DC",WDE,6 ft 5 in,250,Alabama,2016,SEC,Unknown
24,Jonah Williams,"Folsom, CA",OT,6 ft 5 in,280,Alabama,2016,SEC,Unknown
25,Jack Jones,"Long Beach, CA",CB,5 ft 11 in,164,USC,2016,Pac-12,Unknown
26,Michal Menet,"Reading, PA",OG,6 ft 5 in,283,Penn State,2016,Big Ten,Unknown
27,Mecole Hardman,"Elberton, GA",ATH,5 ft 10 in,169,Georgia,2016,SEC,Unknown
28,Kristian Fulton,"Metairie, LA",CB,6 ft 0 in,177,LSU,2016,SEC,Unknown
29,Shane Simmons,"Hyattsville, MD",WDE,6 ft 4 in,221,Penn State,2016,Big Ten,Unknown
30,Curtis Robinson,"Santa Ana, CA",OLB,6 ft 2.75 in,210,Stanford,2016,Pac-12,Unknown
31,McTelvin Agim,"Hope, AR",SDE,6 ft 2.5 in,268,Arkansas,2016,SEC,Unknown
32,Jonathon Cooper,"Columbus, OH",WDE,6 ft 2.25 in,234,Ohio State,2016,Big Ten,Unknown
1,Trenton Thompson,"Albany, GA",DT,6 ft 2.5 in,313,Georgia,2015,SEC,Unknown
