Date,Year,Location,Game,Winner,Winner Conference,Winner_Score,Loser,Loser Conference,Loser_Score
Oct. 20,2018,"Pullman, WA",No. 25 Washington State vs No. 12 Oregon,Washington State,Pac-12,34,Oregon,Pac-12,20
Oct. 27,2018,"Jacksonville, FL",No. 7 Georgia vs No. 9 Florida,Georgia,SEC,36,Florida,SEC,17
Nov. 3,2018,"Baton Rouge, LA",No. 1 Alabama vs No. 4 LSU,Alabama,SEC,29,LSU,SEC,0
Nov. 10,2018,"Chestnut Hill, MA",No. 2 Clemson vs No. 17 Boston College,Clemson,ACC,27,Boston College,ACC,7
Nov. 17,2018,"Orlando, FL",No. 11 UCF vs No. 19 Cincinnati,UCF,AAC,38,Cincinnati,Big 12,13
Nov. 24,2018,"Columbus, OH",No. 10 Ohio State vs No. 4 Michigan,Ohio State,Big Ten,62,Michigan,Big Ten,39
Dec. 1,2018,"Atlanta, GA",No. 1 Alabama vs No. 4 Georgia (SEC Championship),Alabama,SEC,35,Georgia,SEC,28
Dec. 8,2018,"Philadelphia, PA",No. 22 Army vs Navy,Army,Independent,17,Navy,Independent,10
Dec. 29,2018,"Miami Gardens, FL",No. 1 Alabama vs No. 4 Oklahoma (CFP Semifinal),Alabama,SEC,45,Oklahoma,Big 12,34
Jan. 1,2018,"Pasadena, CA",No. 6 Ohio State vs No. 9 Washington (Rose Bowl),Ohio State,Big Ten,28,Washington,Pac-12,23
Jan. 7,2018,"Santa Clara, CA",No. 2 Clemson vs No. 1 Alabama ,Clemson,ACC,44,Alabama,SEC,16
